iter	RMSE
0	0.4277269047
1	0.4116093745
2	0.3968180586
3	0.3825347321
4	0.3700517343
5	0.3571083995
6	0.3459228902
7	0.3355335929
8	0.3257193372
9	0.3167100141
10	0.3089090755
11	0.301113357
12	0.2938080709
13	0.28689881
14	0.2802605749
15	0.2741894424
16	0.2686850099
17	0.2633676838
18	0.2582593749
19	0.2536004714
20	0.2490561238
21	0.2450877136
22	0.2417102806
23	0.2381820219
24	0.2349617118
25	0.2319654466
26	0.2293419779
27	0.2268122001
28	0.2245061963
29	0.2224403953
30	0.2203369467
31	0.2185384756
32	0.2166708675
33	0.2150692612
34	0.2136485052
35	0.2123300421
36	0.2110617272
37	0.2098168746
38	0.2087844048
39	0.2077939038
40	0.2067960159
41	0.2057900278
42	0.204977318
43	0.2041821062
44	0.2033971483
45	0.202727886
46	0.2021390103
47	0.2015370636
48	0.2010008253
49	0.2005472462
50	0.2000727048
51	0.1996551018
52	0.1992319077
53	0.1988600198
54	0.1985302115
55	0.198195828
56	0.1978066635
57	0.197489938
58	0.1971447362
59	0.1969229008
60	0.1966168614
61	0.1963692816
62	0.1961024784
63	0.1959226313
64	0.1956911684
65	0.1954565606
66	0.1952877028
67	0.1950762114
68	0.1949017228
69	0.1947894604
70	0.194667428
71	0.1945274801
72	0.1944018413
73	0.1942135879
74	0.1940985541
75	0.1939395631
76	0.1938318978
77	0.1937176722
78	0.1935975479
79	0.1934490743
80	0.1933441698
81	0.1932661684
82	0.1931833149
83	0.1931082118
84	0.193046761
85	0.1929538305
86	0.1928434986
87	0.192777088
88	0.1927018761
89	0.1926410568
90	0.192556583
91	0.1925002082
92	0.1924407408
93	0.192351519
94	0.1923018563
95	0.1922469028
96	0.1921907476
97	0.1921450774
98	0.1920651615
99	0.1920067081
100	0.191927147
101	0.1918781659
102	0.1918326862
103	0.1917702524
104	0.1916935536
105	0.1916225606
106	0.1915463308
107	0.1915012362
108	0.1914453294
109	0.1913979822
110	0.1913276008
111	0.1912954071
112	0.1912552637
113	0.1912079756
114	0.1911452812
115	0.1911105983
116	0.1910777315
117	0.1910282863
118	0.1909725839
119	0.1909312022
120	0.1908852177
121	0.1908357316
122	0.1907649472
123	0.1907059703
124	0.1906604116
125	0.1906066575
126	0.1905116048
127	0.1904641509
128	0.190424154
129	0.1903858984
130	0.1903558991
131	0.1903308803
132	0.1903004017
133	0.1902630725
134	0.1902137739
135	0.1901848139
136	0.1901254248
137	0.1900904473
138	0.1900436083
139	0.1900134443
140	0.1899441939
141	0.1899391762
142	0.1898313629
143	0.1897863722
144	0.1897543469
145	0.1897263847
146	0.1896941281
147	0.189644613
148	0.1895985718
149	0.1895275269
150	0.1894986949
151	0.1894572789
152	0.1894045048
153	0.1893523642
