iter	Passed	Remaining
0	3	3506
1	6	3445
2	10	3346
3	13	3274
4	16	3200
5	18	3147
6	21	3107
7	24	3064
8	27	3040
9	30	3025
10	33	3009
11	36	2995
12	39	2981
13	42	2981
14	45	2975
15	48	2967
16	51	2962
17	54	2956
18	57	2948
19	59	2938
20	62	2933
21	65	2923
22	68	2921
23	71	2912
24	74	2905
25	77	2904
26	80	2898
27	83	2891
28	86	2887
29	89	2878
30	91	2873
31	94	2866
32	97	2860
33	100	2856
34	103	2847
35	106	2839
36	108	2834
37	111	2829
38	114	2825
39	117	2821
40	120	2818
41	123	2814
42	126	2808
43	129	2806
44	132	2813
45	136	2822
46	139	2818
47	142	2816
48	145	2815
49	148	2812
50	150	2808
51	153	2805
52	156	2800
53	160	2804
54	162	2799
55	166	2812
56	169	2811
57	173	2810
58	176	2812
59	179	2814
60	183	2830
61	187	2839
62	191	2847
63	194	2842
64	197	2836
65	200	2830
66	202	2824
67	206	2825
68	209	2820
69	211	2815
70	214	2810
71	217	2804
72	220	2800
73	223	2796
74	226	2791
75	229	2785
76	231	2780
77	234	2775
78	237	2771
79	240	2766
80	243	2761
81	246	2756
82	249	2752
83	251	2747
84	254	2742
85	257	2737
86	260	2733
87	263	2730
88	266	2726
89	269	2721
90	272	2717
91	274	2713
92	277	2710
93	280	2706
94	283	2702
95	286	2697
96	289	2692
97	291	2687
98	294	2684
99	297	2680
100	300	2675
101	303	2670
102	306	2666
103	309	2662
104	311	2657
105	314	2652
106	317	2648
107	320	2644
108	322	2640
109	325	2637
110	328	2633
111	331	2629
112	334	2624
113	337	2621
114	340	2617
115	342	2613
116	345	2609
117	348	2605
118	351	2601
119	354	2598
120	357	2594
121	359	2590
122	362	2587
123	365	2582
124	368	2579
125	371	2576
126	374	2572
127	377	2568
128	379	2565
129	382	2561
130	385	2557
131	388	2553
132	391	2550
133	394	2547
134	396	2543
135	399	2540
136	402	2537
137	405	2533
138	408	2529
139	411	2525
140	413	2522
141	416	2518
142	419	2514
143	422	2511
144	425	2507
145	427	2503
146	430	2499
147	433	2495
148	436	2492
149	439	2489
150	442	2486
151	445	2484
152	448	2481
153	451	2478
154	453	2474
155	456	2471
156	460	2471
157	463	2468
158	466	2464
159	468	2461
160	471	2457
161	474	2454
162	477	2451
163	480	2447
164	482	2444
165	485	2440
166	488	2437
167	491	2433
168	494	2430
169	497	2427
170	500	2424
171	503	2421
172	505	2418
173	508	2415
174	511	2412
175	514	2408
176	517	2405
177	520	2403
178	523	2400
179	526	2398
180	529	2395
181	532	2392
182	535	2389
183	538	2386
184	540	2382
185	543	2379
186	546	2376
187	549	2373
188	552	2369
189	555	2367
190	557	2363
191	560	2359
192	563	2356
193	566	2353
194	569	2349
195	571	2346
196	574	2342
197	577	2339
198	580	2336
199	583	2332
200	585	2329
201	588	2325
202	591	2322
203	594	2319
204	597	2315
205	600	2312
206	602	2309
207	605	2307
208	608	2304
209	611	2300
210	614	2297
211	617	2294
212	620	2290
213	623	2288
214	625	2285
215	628	2281
216	631	2278
217	634	2275
218	637	2272
219	640	2269
220	642	2266
221	645	2262
222	648	2259
223	651	2256
224	654	2254
225	657	2251
226	660	2247
227	662	2244
228	665	2241
229	668	2238
230	671	2235
231	674	2232
232	677	2229
233	680	2225
234	682	2223
235	685	2220
236	688	2217
237	691	2214
238	694	2210
239	697	2207
240	700	2204
241	702	2201
242	705	2198
243	708	2195
244	712	2196
245	717	2198
246	720	2195
247	722	2191
248	725	2188
249	728	2185
250	731	2182
251	734	2179
252	737	2176
253	740	2173
254	743	2171
255	746	2169
256	749	2167
257	752	2164
258	755	2161
259	758	2158
260	761	2155
261	764	2152
262	767	2149
263	770	2147
264	772	2143
265	775	2140
266	778	2137
267	781	2134
268	784	2131
269	787	2127
270	789	2124
271	792	2121
272	795	2118
273	798	2115
274	801	2112
275	803	2108
276	806	2105
277	809	2103
278	812	2100
279	815	2097
280	818	2094
281	821	2091
282	824	2088
283	826	2084
284	829	2081
285	832	2078
286	835	2075
287	838	2072
288	841	2069
289	844	2066
290	847	2064
291	850	2061
292	852	2058
293	855	2055
294	858	2051
295	861	2048
296	864	2045
297	867	2044
298	870	2041
299	873	2039
300	876	2036
301	879	2033
302	882	2030
303	886	2028
304	889	2025
305	891	2022
306	894	2019
307	897	2016
308	900	2013
309	903	2011
310	906	2008
311	909	2005
312	912	2002
313	915	1999
314	918	1997
315	921	1994
316	924	1991
317	927	1988
318	930	1985
319	933	1982
320	935	1979
321	938	1976
322	941	1973
323	944	1971
324	948	1970
325	951	1967
326	954	1965
327	957	1962
328	961	1960
329	964	1958
330	968	1957
331	971	1954
332	974	1951
333	977	1950
334	981	1947
335	984	1944
336	987	1941
337	990	1939
338	993	1937
339	997	1936
340	1000	1933
341	1003	1930
342	1006	1927
343	1010	1926
344	1014	1925
345	1017	1922
346	1020	1919
347	1023	1916
348	1028	1918
349	1031	1915
350	1034	1912
351	1037	1910
352	1041	1909
353	1045	1908
354	1048	1905
355	1051	1902
356	1055	1900
357	1060	1901
358	1063	1898
359	1066	1895
360	1069	1893
361	1073	1892
362	1077	1890
363	1080	1887
364	1083	1884
365	1086	1881
366	1090	1880
367	1094	1880
368	1097	1877
369	1100	1874
370	1104	1873
371	1109	1872
372	1112	1869
373	1115	1867
374	1118	1863
375	1123	1864
376	1126	1861
377	1129	1859
378	1132	1855
379	1137	1855
380	1140	1853
381	1156	1870
382	1159	1867
383	1162	1864
384	1165	1861
385	1170	1861
386	1173	1858
387	1176	1855
388	1179	1851
389	1182	1848
390	1186	1847
391	1189	1844
392	1192	1841
393	1195	1838
394	1198	1834
395	1202	1834
396	1205	1831
397	1208	1828
398	1211	1825
399	1215	1823
400	1219	1821
401	1222	1818
402	1225	1815
403	1228	1812
404	1232	1810
405	1235	1807
406	1238	1804
407	1241	1801
408	1244	1798
409	1248	1796
410	1251	1793
411	1254	1789
412	1256	1786
413	1259	1783
414	1263	1780
415	1266	1778
416	1269	1774
417	1272	1771
418	1275	1768
419	1278	1765
420	1281	1762
421	1284	1759
422	1287	1756
423	1290	1753
424	1293	1750
425	1296	1747
426	1299	1743
427	1302	1740
428	1305	1737
429	1308	1733
430	1311	1730
431	1314	1727
432	1317	1725
433	1320	1722
434	1323	1718
435	1326	1715
436	1329	1712
437	1332	1709
438	1335	1706
439	1338	1703
440	1341	1700
441	1344	1697
442	1347	1694
443	1350	1691
444	1353	1688
445	1356	1685
446	1359	1682
447	1362	1679
448	1365	1676
449	1369	1673
450	1371	1670
451	1375	1667
452	1377	1663
453	1380	1660
454	1383	1657
455	1386	1654
456	1390	1652
457	1393	1649
458	1396	1646
459	1399	1643
460	1402	1639
461	1405	1637
462	1408	1633
463	1411	1630
464	1414	1627
465	1417	1624
466	1420	1621
467	1423	1618
468	1426	1614
469	1429	1611
470	1432	1608
471	1435	1605
472	1438	1602
473	1441	1599
474	1444	1596
475	1447	1593
476	1450	1590
477	1453	1587
478	1456	1584
479	1459	1581
480	1462	1578
481	1465	1575
482	1469	1572
483	1472	1569
484	1474	1566
485	1477	1562
486	1480	1559
487	1483	1556
488	1486	1553
489	1489	1550
490	1492	1547
491	1495	1544
492	1498	1540
493	1501	1537
494	1504	1534
495	1507	1531
496	1509	1528
497	1512	1525
498	1515	1521
499	1518	1518
500	1521	1515
501	1524	1512
502	1527	1509
503	1530	1506
504	1533	1503
505	1536	1499
506	1539	1496
507	1542	1493
508	1545	1490
509	1547	1487
510	1550	1484
511	1553	1481
512	1556	1477
513	1559	1474
514	1562	1471
515	1565	1468
516	1568	1465
517	1571	1462
518	1574	1458
519	1577	1455
520	1579	1452
521	1582	1449
522	1585	1446
523	1588	1443
524	1591	1439
525	1594	1436
526	1597	1433
527	1600	1430
528	1603	1427
529	1606	1424
530	1609	1421
531	1611	1418
532	1614	1414
533	1617	1411
534	1620	1408
535	1624	1405
536	1627	1402
537	1630	1399
538	1632	1396
539	1635	1393
540	1638	1390
541	1641	1387
542	1644	1383
543	1647	1380
544	1650	1377
545	1653	1374
546	1656	1371
547	1659	1368
548	1662	1365
549	1665	1362
550	1667	1359
551	1670	1356
552	1673	1352
553	1676	1349
554	1679	1346
555	1682	1343
556	1685	1340
557	1688	1337
558	1691	1334
559	1693	1330
560	1696	1327
561	1699	1324
562	1702	1321
563	1705	1318
564	1708	1315
565	1711	1312
566	1714	1309
567	1717	1306
568	1720	1303
569	1723	1300
570	1726	1297
571	1729	1293
572	1732	1290
573	1735	1287
574	1738	1284
575	1740	1281
576	1743	1278
577	1746	1275
578	1749	1272
579	1752	1268
