iter	RMSE
0	0.4246041865
1	0.4072715372
2	0.3913450683
3	0.3761789583
4	0.3608078477
5	0.3469779006
6	0.333663544
7	0.3212829662
8	0.3097566686
9	0.2997557386
10	0.2898786461
11	0.281376326
12	0.2727931631
13	0.2646062611
14	0.2570044684
15	0.2501202426
16	0.2442590768
17	0.2386684409
18	0.2332398062
19	0.2285456823
20	0.2238438125
21	0.2195179582
22	0.2153103945
23	0.2117430298
24	0.2084746484
25	0.205386777
26	0.2026845934
27	0.2001696064
28	0.1977150201
29	0.1954850847
30	0.1934444907
31	0.1915698669
32	0.1898082036
33	0.188241082
34	0.1868742983
35	0.185511434
36	0.1842345829
37	0.1831449541
38	0.1819639322
39	0.1810425396
40	0.1801126213
41	0.1792976355
42	0.1785995288
43	0.1777422457
44	0.1771024443
45	0.1764881528
46	0.1758631774
47	0.1752771981
48	0.1747623451
49	0.1742893343
50	0.1736760171
51	0.1731909627
52	0.1728946721
53	0.1725067278
54	0.1721012736
55	0.171666518
56	0.1713467542
57	0.1709780271
58	0.1706721061
59	0.17040285
60	0.1700877826
61	0.169800259
62	0.1695058443
63	0.1692909064
64	0.1690331106
65	0.1688382163
66	0.1685379436
67	0.1683668244
68	0.1681600388
69	0.1679623406
70	0.1677683769
71	0.1675893386
72	0.1673576813
73	0.1671969685
74	0.1670555708
75	0.1669074613
76	0.166714723
77	0.1666207756
78	0.1665134169
79	0.166421778
80	0.1663156062
81	0.1662063846
82	0.1661285278
83	0.1660401504
84	0.1659169855
85	0.1657478251
86	0.1656449226
87	0.1655813843
88	0.1654798105
89	0.1654112354
90	0.165272125
91	0.1651681798
92	0.1650888565
93	0.1649687292
94	0.1648989851
95	0.16481941
96	0.1646818364
97	0.1645801786
98	0.1644947679
99	0.1643978371
100	0.1642796486
101	0.1642474809
102	0.1641920719
103	0.1641215551
104	0.1640599072
105	0.1639805082
106	0.1639029999
107	0.163842841
108	0.1637802495
109	0.1637476951
110	0.1636612034
111	0.1635763698
112	0.1635251609
113	0.1634593336
114	0.1634054657
115	0.1632992121
116	0.1632576044
117	0.1632035328
118	0.1631519245
119	0.1630688438
120	0.1630062486
121	0.1629639504
122	0.1628911573
123	0.162828065
124	0.1627594665
125	0.162715402
126	0.1626555468
127	0.1625807326
128	0.1625453765
129	0.162459228
130	0.1624075521
131	0.1623607133
132	0.1623229704
133	0.1622914485
134	0.1622366879
135	0.1621838491
136	0.1621322824
137	0.1620584873
138	0.1620145484
139	0.1619579387
140	0.1618992946
141	0.1618517852
142	0.1618313304
143	0.1617970889
144	0.1617386813
145	0.1616871871
146	0.1616452326
147	0.1615984981
148	0.1615486116
149	0.1615023202
150	0.161433477
151	0.1614092934
152	0.1613043012
153	0.1612497825
