iter	Passed	Remaining
0	10	10056
1	16	8472
2	21	7305
3	26	6513
4	32	6443
5	36	6003
6	40	5766
7	45	5606
8	49	5478
9	54	5387
10	58	5231
11	65	5352
12	69	5252
13	73	5193
14	77	5090
15	81	5019
16	85	4923
17	88	4848
18	92	4762
19	96	4728
20	100	4666
21	104	4624
22	107	4565
23	111	4515
24	114	4476
25	119	4475
26	122	4426
27	126	4399
28	130	4367
29	134	4349
30	137	4313
31	141	4289
32	145	4272
33	149	4252
34	152	4215
35	156	4188
36	160	4166
37	163	4143
38	166	4110
39	170	4085
40	173	4058
41	177	4045
42	180	4016
43	183	3988
44	186	3963
45	189	3940
46	193	3932
47	196	3906
48	200	3888
49	203	3867
50	207	3854
51	210	3833
52	213	3815
53	216	3796
54	220	3780
55	223	3771
56	227	3755
57	230	3742
58	233	3724
59	236	3711
60	240	3699
61	243	3683
62	246	3667
63	249	3650
64	253	3640
65	256	3631
66	260	3621
67	263	3607
68	266	3601
69	270	3588
70	273	3579
71	276	3567
72	280	3558
73	283	3546
74	286	3539
75	290	3527
76	293	3518
77	296	3509
78	300	3497
79	303	3495
80	306	3483
81	310	3473
82	313	3464
83	316	3456
84	320	3449
85	323	3439
86	326	3431
87	329	3419
88	333	3415
89	336	3405
90	340	3400
91	343	3389
92	346	3383
93	350	3377
94	353	3369
95	356	3360
96	359	3350
97	363	3342
98	366	3336
99	370	3330
100	373	3322
101	376	3315
102	379	3305
103	383	3302
104	386	3294
105	390	3290
106	393	3284
107	397	3284
108	400	3275
109	404	3269
110	407	3261
111	410	3253
112	414	3251
113	417	3243
114	420	3238
115	423	3230
116	427	3223
117	430	3219
118	434	3214
119	437	3206
120	440	3198
121	443	3192
122	447	3188
123	450	3181
124	453	3173
125	456	3167
126	459	3161
127	463	3157
128	466	3150
129	469	3144
130	473	3139
131	476	3134
132	480	3130
133	483	3123
134	486	3119
135	489	3111
136	493	3110
137	496	3103
138	500	3099
139	503	3093
140	506	3087
141	510	3084
142	512	3074
143	516	3068
144	519	3061
145	522	3056
146	525	3051
147	529	3046
148	532	3040
149	535	3034
150	538	3029
151	541	3023
152	545	3019
153	548	3013
154	551	3008
155	555	3002
156	558	2999
157	561	2993
158	564	2986
159	567	2981
160	570	2975
161	574	2970
162	577	2965
163	580	2960
164	583	2955
165	587	2949
166	590	2945
167	593	2940
168	596	2934
169	600	2933
170	605	2933
171	608	2928
172	611	2923
173	614	2918
174	618	2914
175	621	2910
176	625	2906
177	628	2901
178	631	2897
179	635	2893
180	638	2890
181	642	2886
182	645	2881
183	648	2876
184	652	2874
185	655	2869
186	658	2864
187	662	2860
188	665	2855
189	668	2852
190	672	2846
191	675	2843
192	678	2838
193	682	2835
194	685	2830
195	688	2825
196	692	2821
197	695	2816
198	698	2813
199	702	2808
200	705	2803
201	708	2798
202	711	2792
203	715	2790
204	718	2785
205	721	2780
206	724	2775
207	727	2771
208	731	2767
209	734	2763
210	737	2758
211	740	2753
212	744	2749
213	747	2745
214	751	2744
215	754	2739
216	758	2737
217	762	2733
218	765	2729
219	768	2724
220	771	2720
221	774	2715
222	778	2712
223	781	2709
224	785	2704
225	788	2700
226	791	2694
227	795	2693
228	798	2688
229	802	2685
230	805	2680
231	808	2677
232	812	2673
233	815	2669
234	818	2664
235	821	2660
236	824	2655
237	828	2651
238	831	2648
239	834	2643
240	838	2639
241	841	2636
242	845	2634
243	848	2629
244	851	2624
245	854	2620
246	858	2617
247	861	2613
248	864	2608
249	868	2604
250	871	2600
251	874	2596
252	878	2592
253	881	2588
254	884	2584
255	887	2579
256	890	2575
257	894	2571
258	897	2568
259	901	2564
260	904	2560
261	907	2556
262	910	2552
263	914	2548
264	917	2543
265	920	2540
266	923	2535
267	926	2531
268	929	2526
269	933	2522
270	936	2518
271	939	2514
272	942	2509
273	945	2505
274	948	2501
275	952	2497
276	955	2493
277	958	2489
278	961	2485
279	965	2481
280	968	2478
281	972	2475
282	975	2470
283	978	2466
284	981	2461
285	984	2458
286	987	2453
287	990	2448
288	993	2445
289	996	2440
290	1000	2437
291	1003	2432
292	1006	2428
293	1009	2424
294	1012	2420
295	1016	2416
296	1019	2412
297	1022	2408
298	1025	2404
299	1028	2400
300	1031	2396
301	1035	2392
302	1038	2388
303	1041	2383
304	1044	2379
305	1047	2375
306	1050	2371
307	1053	2367
308	1057	2364
309	1060	2359
310	1063	2355
311	1066	2351
312	1069	2347
313	1072	2343
314	1075	2339
315	1079	2335
316	1082	2331
317	1085	2327
318	1088	2323
319	1091	2320
320	1095	2316
321	1098	2312
322	1101	2308
323	1104	2304
324	1107	2299
325	1110	2295
326	1113	2291
327	1116	2287
328	1119	2283
329	1122	2279
330	1125	2275
331	1128	2271
332	1132	2267
333	1135	2263
334	1138	2260
335	1141	2256
336	1144	2252
337	1147	2248
338	1150	2244
339	1154	2240
340	1157	2236
341	1160	2232
342	1163	2228
343	1166	2225
344	1170	2221
345	1173	2217
346	1176	2213
347	1179	2209
348	1182	2206
349	1185	2202
350	1189	2198
351	1192	2194
352	1195	2191
353	1198	2187
354	1201	2183
355	1206	2182
356	1210	2179
357	1214	2178
358	1217	2174
359	1221	2171
360	1224	2167
361	1227	2164
362	1231	2160
363	1234	2156
364	1237	2153
365	1240	2149
366	1244	2145
367	1247	2142
368	1250	2139
369	1254	2136
370	1257	2132
371	1260	2128
372	1263	2124
373	1266	2120
374	1270	2117
375	1273	2113
376	1276	2109
377	1279	2105
378	1282	2102
379	1285	2098
380	1289	2094
381	1292	2091
382	1295	2087
383	1298	2083
384	1301	2079
385	1305	2076
386	1308	2072
387	1311	2068
388	1314	2065
389	1317	2061
390	1321	2058
391	1324	2054
392	1327	2050
393	1330	2046
394	1333	2042
395	1336	2039
396	1339	2035
397	1343	2031
398	1346	2028
399	1349	2024
400	1352	2021
401	1356	2017
402	1359	2013
403	1362	2009
404	1365	2006
405	1368	2002
406	1371	1998
407	1374	1995
408	1377	1991
409	1381	1987
410	1384	1983
411	1387	1980
412	1390	1976
413	1393	1972
414	1396	1969
415	1400	1965
416	1403	1962
417	1406	1958
418	1409	1954
419	1412	1950
420	1415	1947
421	1419	1944
422	1423	1941
423	1427	1938
424	1430	1935
425	1434	1932
426	1438	1930
427	1442	1927
428	1448	1927
429	1452	1925
430	1455	1922
431	1460	1919
432	1463	1916
433	1467	1913
434	1470	1909
435	1473	1906
436	1477	1903
437	1480	1900
438	1484	1896
439	1487	1892
440	1490	1889
441	1493	1885
442	1497	1882
443	1500	1878
444	1503	1875
445	1507	1871
446	1510	1868
447	1513	1864
448	1516	1861
449	1519	1857
450	1522	1853
451	1526	1850
452	1529	1846
453	1532	1843
454	1535	1839
455	1538	1835
456	1542	1832
457	1545	1828
458	1548	1825
459	1551	1821
460	1554	1817
461	1558	1814
462	1561	1810
463	1564	1807
464	1567	1803
465	1570	1799
466	1573	1796
467	1577	1792
468	1580	1789
469	1583	1786
470	1586	1782
471	1590	1778
472	1593	1775
473	1596	1771
474	1599	1768
475	1602	1764
476	1606	1760
477	1609	1757
478	1612	1753
479	1615	1749
480	1618	1746
481	1621	1742
482	1624	1739
483	1628	1735
484	1631	1732
485	1634	1728
486	1637	1725
487	1640	1721
488	1643	1717
489	1646	1714
490	1650	1710
491	1653	1707
492	1656	1703
493	1659	1699
494	1662	1696
495	1665	1692
496	1668	1689
497	1672	1685
498	1675	1682
499	1678	1678
500	1681	1675
501	1684	1671
502	1687	1667
503	1691	1664
504	1694	1660
505	1697	1657
506	1700	1653
507	1703	1650
508	1706	1646
509	1710	1643
510	1713	1639
511	1716	1636
512	1719	1632
513	1723	1629
514	1726	1625
515	1729	1621
516	1732	1618
517	1735	1614
518	1738	1611
519	1741	1607
520	1745	1604
521	1748	1600
522	1751	1597
523	1754	1594
524	1757	1590
525	1761	1587
526	1764	1583
527	1767	1580
528	1770	1576
529	1774	1573
530	1777	1569
531	1780	1566
532	1783	1562
533	1786	1559
534	1790	1556
535	1793	1552
536	1796	1548
537	1799	1545
538	1802	1541
539	1805	1538
540	1808	1534
541	1811	1531
542	1814	1527
543	1817	1523
544	1820	1520
545	1823	1516
546	1827	1513
547	1830	1509
548	1833	1505
549	1836	1502
550	1839	1498
551	1842	1495
552	1845	1491
553	1848	1488
554	1852	1485
555	1855	1481
556	1858	1478
557	1861	1474
558	1864	1471
559	1867	1467
560	1871	1464
561	1874	1460
562	1877	1457
563	1880	1453
564	1883	1450
565	1886	1446
566	1890	1443
567	1893	1439
568	1896	1436
569	1899	1432
570	1902	1429
571	1905	1425
572	1908	1422
573	1912	1419
574	1915	1415
575	1918	1412
576	1921	1408
577	1925	1405
578	1928	1401
579	1931	1398
580	1934	1394
581	1937	1391
582	1940	1388
583	1944	1385
584	1947	1381
585	1950	1378
586	1954	1374
587	1957	1371
588	1960	1367
589	1963	1364
590	1966	1361
591	1969	1357
592	1973	1354
593	1976	1350
594	1979	1347
595	1983	1344
596	1986	1340
597	1989	1337
598	1992	1334
599	1996	1330
600	1999	1327
601	2003	1324
602	2006	1320
603	2009	1317
604	2012	1314
605	2016	1310
606	2019	1307
607	2022	1304
608	2026	1300
609	2029	1297
610	2033	1294
611	2036	1290
612	2039	1287
613	2042	1284
614	2045	1280
615	2049	1277
616	2052	1273
617	2055	1270
618	2058	1267
619	2062	1264
620	2066	1260
621	2069	1257
622	2072	1254
623	2075	1250
624	2079	1247
625	2082	1244
626	2085	1240
627	2088	1237
628	2093	1234
629	2097	1231
630	2101	1228
631	2105	1225
632	2109	1222
633	2112	1219
634	2115	1216
635	2118	1212
636	2122	1209
637	2125	1206
638	2129	1202
639	2132	1199
640	2136	1196
641	2139	1192
642	2142	1189
643	2146	1186
644	2149	1182
645	2152	1179
646	2156	1176
647	2159	1173
648	2162	1169
649	2166	1166
650	2169	1162
651	2173	1159
652	2176	1156
653	2179	1153
654	2182	1149
655	2185	1146
656	2189	1143
657	2192	1139
658	2195	1136
659	2199	1132
660	2202	1129
661	2205	1126
662	2209	1123
663	2212	1119
664	2216	1116
665	2220	1113
666	2223	1110
667	2226	1106
668	2230	1103
669	2233	1099
670	2236	1096
671	2240	1093
672	2243	1090
673	2246	1086
674	2250	1083
675	2254	1080
676	2257	1076
677	2260	1073
678	2263	1070
679	2266	1066
680	2270	1063
681	2273	1059
682	2276	1056
683	2279	1053
684	2283	1050
685	2287	1047
686	2291	1043
687	2294	1040
688	2297	1037
689	2301	1034
690	2305	1031
691	2308	1027
692	2312	1024
693	2315	1021
694	2319	1017
695	2322	1014
696	2325	1011
697	2329	1007
698	2332	1004
699	2336	1001
700	2339	997
701	2342	994
702	2345	991
703	2349	987
704	2352	984
705	2355	981
706	2359	977
707	2362	974
708	2365	970
709	2368	967
710	2372	964
711	2375	960
712	2378	957
713	2382	954
714	2385	950
715	2388	947
716	2391	944
717	2395	940
718	2398	937
719	2401	934
720	2405	930
721	2408	927
722	2411	924
723	2415	920
724	2418	917
725	2421	913
726	2424	910
727	2427	907
728	2430	903
729	2434	900
730	2437	896
731	2440	893
732	2443	890
733	2446	886
734	2450	883
735	2453	880
736	2457	876
737	2460	873
738	2463	870
739	2466	866
740	2469	863
741	2472	859
742	2475	856
743	2479	853
744	2482	849
745	2485	846
746	2488	842
747	2491	839
748	2494	835
749	2497	832
750	2500	829
751	2503	825
752	2507	822
753	2510	818
754	2513	815
755	2516	812
756	2519	808
757	2522	805
758	2525	802
759	2529	798
760	2532	795
761	2535	791
762	2538	788
763	2541	785
764	2544	781
765	2547	778
766	2551	774
767	2554	771
768	2557	768
769	2560	764
770	2563	761
771	2567	758
772	2570	754
773	2573	751
774	2576	748
775	2580	744
776	2583	741
777	2586	737
778	2589	734
779	2592	731
780	2595	727
781	2598	724
782	2602	721
783	2605	717
784	2608	714
785	2611	710
786	2614	707
787	2617	704
788	2620	700
789	2623	697
790	2626	693
791	2629	690
792	2633	687
793	2636	683
794	2639	680
795	2642	677
796	2645	673
797	2648	670
798	2651	667
799	2655	663
800	2658	660
801	2661	657
802	2664	653
803	2667	650
804	2670	646
805	2673	643
806	2677	640
807	2680	636
808	2683	633
809	2686	630
810	2689	626
811	2692	623
812	2695	620
813	2699	616
814	2702	613
815	2705	610
816	2708	606
817	2712	603
818	2715	600
819	2718	596
820	2721	593
821	2724	590
822	2728	586
823	2731	583
824	2734	580
825	2737	576
826	2740	573
827	2743	569
828	2747	566
829	2750	563
830	2753	559
831	2756	556
832	2759	553
833	2762	549
834	2765	546
835	2769	543
836	2772	539
837	2775	536
838	2778	533
839	2781	529
840	2784	526
841	2787	523
842	2791	519
843	2794	516
844	2797	513
845	2800	509
846	2804	506
847	2807	503
848	2810	499
849	2813	496
850	2816	493
851	2819	489
852	2823	486
853	2826	483
854	2829	479
855	2832	476
856	2835	473
857	2839	469
858	2842	466
859	2845	463
860	2848	459
861	2851	456
862	2855	453
863	2858	449
864	2861	446
865	2864	443
866	2867	439
867	2870	436
868	2874	433
869	2877	429
870	2880	426
871	2883	423
872	2886	419
873	2890	416
874	2893	413
875	2896	409
876	2899	406
877	2902	403
878	2906	400
879	2909	396
880	2912	393
881	2915	390
882	2919	386
883	2923	383
884	2926	380
885	2930	377
886	2933	373
887	2937	370
888	2940	367
889	2944	363
890	2948	360
891	2951	357
892	2955	354
893	2958	350
894	2962	347
895	2968	344
896	2972	341
897	2975	337
898	2979	334
899	2984	331
900	2988	328
901	2991	324
902	2994	321
903	2998	318
904	3002	315
905	3005	311
906	3008	308
907	3013	305
908	3016	302
909	3019	298
910	3023	295
911	3026	292
912	3031	288
913	3034	285
914	3037	282
915	3041	278
916	3045	275
917	3048	272
918	3051	268
919	3054	265
920	3058	262
921	3063	259
922	3066	255
923	3069	252
924	3072	249
925	3077	245
926	3080	242
927	3084	239
928	3087	235
929	3091	232
930	3094	229
931	3098	226
932	3101	222
933	3104	219
934	3109	216
935	3113	212
936	3116	209
937	3119	206
938	3123	202
939	3127	199
940	3130	196
941	3133	192
942	3136	189
943	3142	186
944	3145	183
945	3148	179
946	3151	176
947	3156	173
948	3159	169
949	3163	166
950	3166	163
951	3171	159
952	3175	156
953	3178	153
954	3181	149
955	3184	146
956	3190	143
957	3193	140
958	3196	136
959	3200	133
960	3205	130
961	3208	126
962	3211	123
963	3214	120
964	3218	116
965	3222	113
966	3225	110
967	3228	106
968	3231	103
969	3237	100
970	3240	96
971	3243	93
972	3246	90
973	3250	86
974	3254	83
975	3257	80
976	3260	76
977	3263	73
978	3269	70
979	3272	66
980	3275	63
981	3278	60
982	3282	56
983	3286	53
984	3289	50
985	3292	46
986	3295	43
987	3299	40
988	3303	36
989	3306	33
990	3309	30
991	3313	26
992	3316	23
993	3319	20
994	3322	16
995	3325	13
996	3329	10
997	3332	6
998	3335	3
999	3338	0
